Disease,Symptoms,Type
Bipolar Disorder,"depression, mood swings, mania",Serious
ALS,"muscle weakness, twitching, difficulty speaking",Critical
Keloids,raised thickened scar tissue,Normal
Muscular Dystrophy,"muscle weakness, frequent falls",Critical
Klinefelter Syndrome,"small testes, tall stature",Serious
Gianotti-Crosti Syndrome,rash on limbs after infection,Normal
Hypothermia,"slurred speech, slow breathing, shivering",Critical
Prostate Cancer,"blood in semen, pelvic pain, difficulty urinating",Critical
Addison Disease,weight loss,Serious
Spina Bifida,"visible gap in spine, weakness",Serious
Menopause,"hot flashes, mood changes, night sweats",Normal
Tularemia,"fever, skin ulcers, swollen glands",Serious
Poison Ivy Rash,"itching, blisters from plant, redness",Normal
Milium,tiny white bumps on face,Normal
Tonsil Stones,"white debris, sore throat, bad breath",Normal
Ovarian Cancer,"bloating, pelvic pain, frequent urination",Critical
Folliculitis,small red bumps at hair follicles,Normal
Dyscalculia,difficulty with numbers/math,Normal
Avascular Necrosis,"limited range of motion, joint pain",Serious
Avian Flu,"sore throat, fever, cough",Critical
Cat Scratch Disease,swollen nodes,Normal
Pruritus (Itching),unpleasant sensation inciting scratch,Normal
Celiac Disease,bloating,Serious
Shingles,"painful rash, blisters, burning sensation",Serious
Ankylosing Spondylitis,back pain,Serious
Chagas Disease,fatigue,Serious
Carbuncle,"cluster of boils, fever",Serious
Gastritis,"bloating, vomiting, stomach pain, nausea, indigestion",Normal
Rocky Mountain Spotted Fever,"fever, headache, spotted rash",Serious
Influenza,"fatigue, headache, body ache, high fever, chills",Normal
Nummular Eczema,coin-shaped itchy skin patches,Normal
Lyme Disease,"fever, fatigue, joint pain",Serious
Antisocial Personality,"impulsivity, disregard for rules",Serious
Tick Bite,red spot,Normal
Vitamin B12 Deficiency,"tingling, fatigue, tongue soreness",Normal
Plantar Warts,hard growths on soles,Normal
Scoliosis,back pain,Serious
Peripheral Artery Disease,"cold limbs, leg pain, numbness, weakness",Serious
Encephalitis,"fever, headache, seizures, confusion",Critical
Concussion,"headache, memory loss, confusion, dizziness",Serious
Fifth Disease,"bright red rash on cheeks, fever",Normal
Endometriosis,"infertility, pelvic pain, painful periods",Serious
Ankylosing Spondylitis,"stiffness in morning, back pain",Serious
Pellagra,"dermatitis, diarrhea",Serious
Aortic Aneurysm,"chest pain, back pain, shortness of breath",Critical
Synovitis,pain,Normal
Bunions,bony bump at base of big toe,Normal
Gallbladder Attack,"severe upper right pain, nausea",Serious
Lactose Intolerance,"gas, diarrhea after dairy, bloating",Normal
Varicocele,swollen veins in the scrotum,Normal
Smallpox,"fatigue, pustules on skin, fever",Critical
Ovarian Cysts,"pelvic pain, bloating, irregular periods",Serious
Postpartum Depression,fatigue,Serious
Myopathy,"fatigue, muscle weakness, pain",Serious
Crohn's Disease,"fatigue, abdominal pain, diarrhea, weight loss",Serious
Pancreatitis,"vomiting, fever, upper abdominal pain, nausea",Serious
Dermatitis Herpetiformis,very itchy blisters on elbows/knees,Serious
Nosebleed,bleeding from nostrils,Normal
Insect Bite,"swelling, itching, red bump",Normal
Metabolic Syndrome,"fatigue, weight gain, high blood pressure",Serious
Hirsutism,excessive hair growth in women,Normal
Tularemia,skin ulcers,Serious
Telogen Effluvium,temporary hair thinning,Normal
Anthrax (Cutaneous),skin sore with black center,Serious
Telogen Effluvium,temporary hair thinning,Normal
Down Syndrome,"distinct facial features, delayed development",Serious
Hammer Toe,toe bent at middle joint,Normal
Acanthosis Nigricans,dark velvety skin in folds,Normal
Sinusitis,runny nose,Normal
Septic Arthritis,"swelling, fever, joint pain",Critical
Dracunculiasis (Guinea Worm),"worm emergence, painful blister",Serious
Skin Tags,small flesh-colored growths,Normal
Edward's Syndrome,severe developmental delays,Critical
Lordosis,excessive inward curve of lower back,Normal
Cytomegalovirus Infection,fatigue,Serious
Chapped Lips,"cracked, dry, peeling lips",Normal
Athlete's Foot,"scaling, redness on feet",Normal
Tularemia,"swollen glands, skin ulcers",Serious
Spina Bifida,"weakness, visible gap in spine",Serious
Ingrown Toenail,"swelling at nail corner, pain, redness",Normal
Urticaria,"swelling, hives, redness, itching",Normal
Osteomyelitis,"bone pain, swelling, fever",Serious
Chlamydia,"painful urination, pelvic pain",Serious
Bladder Cancer,"pelvic pain, blood in urine",Critical
Tetanus,"jaw locking, spasms, muscle stiffness",Critical
Urinary Tract Infection,"burning urination, cloudy urine, urgency",Normal
Takayasu's Arteritis,"weak pulse, dizziness",Serious
Erythema Infectiosum,slapped cheek rash,Normal
Vibriosis,"watery diarrhea, abdominal cramps",Normal
H1N1 Flu,"cough, body ache, sore throat",Serious
Amnesia,"confusion, memory loss",Serious
Plantar Warts,hard growths on soles,Normal
Leprosy,"muscle weakness, skin lesions",Serious
Tennis Elbow,"elbow pain, weak grip",Normal
Stroke,"vision problems, sudden weakness, headache",Critical
Oral Thrush,"white patches in mouth, soreness",Normal
Vitiligo,"patches, loss of skin color",Normal
Urticaria (Hives),raised itchy welts,Normal
Plantar Fasciitis,"heel pain, stiffness in morning",Normal
Menopause,"night sweats, mood changes, hot flashes",Normal
Hydatid Disease,"pain, cysts in liver or lungs",Serious
Appendicitis,"lower abdominal pain, fever, vomiting",Serious
Addison Disease,"fatigue, low blood pressure, dizziness, weight loss",Serious
Pinworms,"restless sleep, itching around anus",Normal
Obesity,"weight gain, joint pain, breathlessness",Normal
PTSD,"anxiety, flashbacks, nightmares",Serious
Bed Bug Bites,itchy red bumps in a line,Normal
Milium,tiny white bumps on face,Normal
Genu Varum (Bow Legs),knees apart while ankles touch,Normal
Cytomegalovirus Infection,"fatigue, body aches, fever",Serious
Ulcerative Colitis,"weight loss, bloody diarrhea, fatigue, abdominal pain",Serious
Pitted Keratolysis,small pits on soles of feet,Normal
Depression,"sadness, loss of interest, fatigue, sleep problems",Serious
Tonsillitis,"swollen tonsils, difficulty swallowing, sore throat, fever",Normal
Spider Veins,small web-like veins on skin,Normal
Addison Disease,"fatigue, weight loss, dizziness, low blood pressure",Serious
Acne,"pimples, inflammation, blackheads, oily skin",Normal
Patau Syndrome,"physical abnormalities, brain defects",Critical
Fleabites,small itchy red bumps on ankles,Normal
Goiter,"difficulty swallowing, neck swelling",Normal
Restless Legs Syndrome,"urge to move legs, crawling sensation",Normal
Tourette Syndrome,repetitive movements,Normal
Erythema Nodosum,painful red lumps on shins,Serious
Pinta,discolored skin patches,Normal
Eczema,"dry skin, rash, redness, itching",Normal
Hookworm Infection,"anemia, abdominal pain, itching",Serious
Salmonellosis,"fever, stomach cramps, diarrhea",Normal
ALS,"muscle weakness, twitching, difficulty speaking",Critical
Pitted Keratolysis,small pits on soles of feet,Normal
Melioidosis,"chest pain, cough, fever",Serious
Tularemia,"fever, skin ulcers, swollen glands",Serious
Bronchitis,"wheezing, mucus, chest discomfort, persistent cough, fatigue",Normal
Kawasaki Disease,"high fever, swelling, rash, red eyes",Serious
Trachoma,eye itching,Serious
Tooth Decay,"toothache, sensitivity, black spots",Normal
Aortic Aneurysm,"shortness of breath, chest pain, back pain",Critical
Whooping Cough,"vomiting, severe coughing",Serious
Smallpox,"fever, pustules on skin, fatigue",Critical
Traction Alopecia,hair loss from tight styles,Normal
Photosensitivity,rash after sun exposure,Normal
Ankylosing Spondylitis,"back pain, stiffness in morning",Serious
Seborrheic Dermatitis,"red skin, scaly patches, dandruff",Normal
Plantar Warts,hard growths on soles,Normal
Pancreatitis,"fever, vomiting, nausea",Serious
Polyarteritis Nodosa,"skin sores, joint pain, fever",Serious
Esophageal Cancer,"difficulty swallowing, weight loss",Critical
Heart Failure,"shortness of breath, cough, fatigue, swelling",Critical
Cardiomyopathy,"dizziness, fatigue, shortness of breath, swelling",Serious
Hiccups,involuntary diaphragm contractions,Normal
Lordosis,excessive inward curve of lower back,Normal
Social Anxiety,"trembling, fear of judgment, sweating",Normal
Paronychia,redness and swelling around nail,Normal
Spondylolisthesis,"lower back pain, stiffness",Serious
Anthrax,breathing issues,Critical
Hookworm Infection,"abdominal pain, itching, anemia",Serious
Nosebleed,bleeding from nostrils,Normal
Shin Splints,pain along the shin bone,Normal
Addison's Disease,"weight loss, extreme fatigue, dark skin",Serious
Wegener's Granulomatosis,"kidney issues, cough",Serious
Sleeping Sickness,"sleep disruption, joint pain, fever",Critical
Jock Itch,"itching, redness in groin area",Normal
Leprosy,"muscle weakness, skin lesions, numbness",Serious
Myasthenia Gravis,"drooping eyelids, double vision, muscle weakness",Serious
Lymphoma,fatigue,Critical
Molluscum Contagiosum,small firm bumps with dimples,Normal
IBS,"bloating, constipation, stomach cramps, diarrhea",Normal
Fragile X Syndrome,"learning disabilities, developmental delays",Serious
Tinea Versicolor,discolored skin patches,Normal
Genu Varum (Bow Legs),knees apart while ankles touch,Normal
Mono (Mononucleosis),"fatigue, swollen lymph nodes",Normal
Frozen Shoulder,"stiffness, shoulder pain",Normal
Anemia,"pale skin, fatigue",Normal
Umbilical Hernia,bulge at the belly button,Normal
Typhoid Fever,"headache, weakness, stomach pain, high fever",Serious
Hernia,"pain while lifting, pressure, bulge in abdomen",Normal
Lymphedema,swelling in arms or legs,Serious
Erectile Dysfunction,"difficulty maintaining erection, low libido",Normal
Postpartum Depression,"fatigue, sadness after childbirth",Serious
Keratosis Pilaris,small rough bumps on arms/thighs,Normal
COPD,"mucus, wheezing, fatigue, breathlessness, chronic cough",Serious
Irritable Bowel Syndrome,"bloating, diarrhea, constipation, abdominal pain",Normal
ALS,"muscle weakness, difficulty speaking",Critical
Alopecia Areata,"patchy hair loss, smooth scalp",Normal
Varicocele,swollen veins in the scrotum,Normal
Callus,thickened skin from friction,Normal
Dyshidrotic Eczema,small blisters on hands/feet,Normal
Tennis Elbow,"elbow pain, weak grip",Normal
Angina,"fatigue, shortness of breath, pressure",Serious
Rubella,"swollen nodes, fever, pink rash",Normal
Brucellosis,"fever, joint pain, fatigue",Serious
Hypertrophic Scars,raised red scars within injury site,Normal
Sunburn,"blistering, red skin, peeling",Normal
Kidney Failure,"decreased urination, swelling, fatigue",Critical
Presbyopia,age-related near vision loss,Normal
Buerger's Disease,"pain in hands/feet, skin ulcers",Serious
Cystic Fibrosis,"cough, poor growth, salty skin, lung infections",Critical
Seasonal Affective Disorder,depression during winter months,Normal
Astigmatism,blurred vision at all distances,Normal
Chlamydia,"discharge, pelvic pain, painful urination",Serious
Gallstones,"nausea, vomiting, abdominal pain, indigestion",Normal
Reye's Syndrome,"seizures, vomiting",Critical
Paronychia,redness and swelling around nail,Normal
Erythrasma,red-brown skin patches,Normal
Pancreatic Cancer,"weight loss, fatigue, back pain, jaundice",Critical
Gastritis,"nausea, stomach pain, bloating, indigestion",Normal
Raynaud's Disease,"color change to white/blue, cold fingers",Normal
Crohn's Disease,"fatigue, weight loss, abdominal pain, diarrhea",Serious
Hookworm Infection,"anemia, abdominal pain",Serious
Reye's Syndrome,"seizures, confusion, vomiting",Critical
Takayasu's Arteritis,"chest pain, weak pulse, dizziness",Serious
Fungal Infection,"itching, redness, scaling",Normal
Ovarian Cancer,"pelvic pain, frequent urination",Critical
Otitis Media,earache,Normal
Hemophilia,"easy bruising, joint pain, excessive bleeding",Critical
Photosensitivity,rash after sun exposure,Normal
Anxiety Disorder,"rapid heartbeat, restlessness, nervousness, sweating",Normal
Hypertrophic Scars,raised red scars within injury site,Normal
Pinworms,"restless sleep, itching around anus",Normal
Food Poisoning,"vomiting, dehydration, stomach cramps, diarrhea",Normal
Hypertrophic Scars,raised red scars within injury site,Normal
Candidiasis,yeast infection symptoms,Normal
OCD,"anxiety, repetitive thoughts, compulsions",Normal
Beriberi,"limb pain, weakness",Serious
Fibromyalgia,"sleep problems, muscle pain, fatigue",Normal
Plague,"cough, swollen lymph nodes, fever",Critical
Edward's Syndrome,severe developmental delays,Critical
Frostbite,"blisters, white/blue skin",Serious
Albinism,lack of pigment in skin/hair/eyes,Normal
Psoriasis,"redness, scaly skin, plaques, itching",Normal
Spider Veins,small web-like veins on skin,Normal
Esophageal Cancer,"weight loss, chest pain",Critical
Hyperthyroidism,"palpitations, sweating, weight loss, anxiety",Serious
Salmonellosis,"diarrhea, stomach cramps",Normal
Multiple Sclerosis,"vision problems, fatigue, weakness, numbness",Serious
Cirrhosis,"jaundice, swelling, fatigue, weight loss, confusion",Critical
ADHD,"impulsiveness, inattention, hyperactivity",Normal
Neuropathy,"weakness, tingling, numbness, pain",Serious
Photosensitivity,rash after sun exposure,Normal
Plantar Fasciitis,"heel pain, stiffness in morning",Normal
Menopause,"hot flashes, night sweats",Normal
Melioidosis,"chest pain, cough, fever",Serious
Lichen Sclerosus,white thin skin in genital area,Normal
Obesity,"joint pain, weight gain, breathlessness, fatigue",Normal
Personality Disorder,"emotional instability, behavior issues",Serious
Hepatitis,"abdominal pain, fatigue, jaundice, nausea",Serious
Kidney Cancer,"blood in urine, weight loss",Critical
Genu Valgum (Knock Knees),knees touch while ankles apart,Normal
Dissociative Identity,presence of multiple personalities,Serious
Boils,"painful lumps, redness",Normal
Common Cold,"sneezing, sore throat, congestion, watery eyes, mild fever, runny nose",Normal
Cirrhosis,"jaundice, swelling, weight loss, confusion",Critical
Multiple Sclerosis,numbness,Serious
Epilepsy,"seizures, staring spells, confusion, loss of consciousness",Serious
Bunions,bony bump at base of big toe,Normal
Heart Attack,"shortness of breath, chest pain, sweating",Critical
Venous Ulcers,open sores on lower legs,Serious
Corns,hard thickened skin on toes,Normal
Perioral Dermatitis,small red bumps around mouth,Normal
Pinta,discolored skin patches,Normal
Scabies,"skin irritation, itching",Normal
Bladder Cancer,"pelvic pain, blood in urine",Critical
Vertigo,spinning sensation,Normal
Dupuytren's Contracture,fingers pulled toward palm,Normal
Astigmatism,blurred vision at all distances,Normal
Necrotizing Fasciitis,skin death,Critical
Amnesia,"memory loss, confusion",Serious
Corns and Calluses,thickened skin areas,Normal
Pancreatic Cancer,"jaundice, fatigue, weight loss, back pain",Critical
Carpal Tunnel Syndrome,hand numbness,Normal
Paget's Disease of Bone,"fractures, hearing loss, bone pain",Serious
Frostbite,"blisters, white/blue skin",Serious
Trigger Finger,finger stuck in bent position,Normal
Addison's Disease,"dark skin, extreme fatigue, weight loss",Serious
Avian Flu,"sore throat, fever, muscle aches, cough",Critical
Chlamydia,"pelvic pain, discharge, painful urination",Serious
Hiatal Hernia,"chest pain, heartburn, difficulty swallowing",Serious
Sjogren's Syndrome,dry mouth,Serious
Typhoid,"weakness, abdominal pain, prolonged fever",Serious
Eczema,"rash, redness, itching",Normal
Addison's Disease,weight loss,Serious
Chikungunya,"fever, joint pain, fatigue, rash",Serious
Toxoplasmosis,swollen nodes,Serious
Paget's Disease of Bone,"bone pain, fractures, hearing loss",Serious
Septic Arthritis,"joint pain, fever, swelling",Critical
Heat Stroke,"confusion, rapid pulse",Critical
Anthrax (Cutaneous),skin sore with black center,Serious
Addison's Disease,"dark skin, weight loss",Serious
Tuberculosis,"weight loss, night sweats, fatigue, chest pain",Serious
Diphtheria,"fever, thick gray coating in throat",Critical
Lice,"itching on scalp, visible bugs",Normal
Contact Dermatitis,itchy rash from substance contact,Normal
Leishmaniasis,fever,Serious
Borderline Personality,"unstable moods, relationship issues",Serious
Addison's Disease,"extreme fatigue, dark skin, weight loss",Serious
Pressure Sores (Bedsores),skin breakdown from prolonged pressure,Serious
Atherosclerosis,"fatigue, numbness, leg pain, chest pain",Serious
Torticollis,"twisted neck, head tilted to side",Normal
Chagas Disease,"swelling at bite, fever, fatigue",Serious
Stuttering,"repetition of sounds, speech blocks",Normal
Listeriosis,"muscle aches, stiff neck, fever",Serious
Encephalitis,"fever, headache, seizures",Critical
Heart Attack,"chest pain, shortness of breath, sweating, nausea",Critical
Pityriasis Rosea,large herald patch followed by small spots,Normal
Pericarditis,"weakness, fever, palpitations, chest pain",Serious
Trichotillomania,hair pulling disorder,Normal
Muscle Cramp,sudden painful muscle contraction,Normal
Constipation,difficulty passing stool,Normal
Common Cold,"sore throat, sneezing, watery eyes, runny nose, mild fever, congestion",Normal
Macular Degeneration,"blurred central vision, distorted lines",Serious
Gingivitis,"swollen gums, bleeding, bad breath",Normal
Panic Disorder,"sudden fear, chest pain",Normal
Infertility,"irregular cycles, inability to conceive",Serious
Down Syndrome,"distinct facial features, delayed development",Serious
Presbyopia,age-related near vision loss,Normal
Thrush (Vaginal),"thick white discharge, itching",Normal
Hashimoto's Thyroiditis,"weight gain, fatigue, cold intolerance, dry skin",Serious
Acne Vulgaris,"pimples, oily skin, blackheads",Normal
Trachoma,"blindness, eye itching, eyelid scarring",Serious
Oral Thrush,"white patches in mouth, soreness",Normal
Laryngitis,sore throat,Normal
Genital Warts,small bumps in genital area,Serious
Typhoid Fever,"high fever, headache, weakness",Serious
Sjogren's Syndrome,"dry eyes, joint pain, dry mouth, fatigue",Serious
Osteoporosis,"back pain, fractures",Serious
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Multiple Sclerosis,"numbness, weakness, fatigue, vision problems",Serious
Perioral Dermatitis,small red bumps around mouth,Normal
Gingivitis,"bleeding, swollen gums",Normal
Rheumatoid Arthritis,"fatigue, joint pain, swelling",Serious
Spondylolisthesis,lower back pain,Serious
Tinea Capitis,scalp ringworm,Normal
GERD,"regurgitation, chest discomfort, acid reflux, heartburn",Normal
Sleep Apnea,"breathing pauses during sleep, fatigue, snoring, headache",Serious
Hypothyroidism,"dry skin, fatigue, cold intolerance",Normal
Seborrheic Dermatitis,"dandruff, scaly patches, red skin",Normal
Baker's Cyst,"swelling behind the knee, tightness",Normal
COVID-19,loss of taste,Serious
Carbuncle,"fever, pain, cluster of boils",Serious
Erythrasma,red-brown skin patches,Normal
Stevens-Johnson Syndrome,flu symptoms and severe rash,Critical
Migraine,vomiting,Normal
Hydrocele,swelling in the scrotum,Normal
Bursitis,"swelling, joint pain, redness",Normal
Inguinal Hernia,"pain while coughing, bulge in the groin",Serious
Dandruff,"itchy scalp, white flakes",Normal
Herpes Simplex Type 1,cold sores around mouth,Normal
Pityriasis Rosea,large herald patch followed by small spots,Normal
Hantavirus,"shortness of breath, muscle aches, fever",Critical
Depression,"sadness, loss of interest, fatigue, sleep problems",Serious
Dementia,"confusion, memory loss, behavior changes",Serious
Edward's Syndrome,severe developmental delays,Critical
Rickets,"delayed growth, bone pain, bowed legs",Serious
Prostate Cancer,"difficulty urinating, pelvic pain",Critical
Pyoderma Gangrenosum,large painful skin ulcers,Critical
Candidiasis,yeast infection symptoms,Normal
Nosebleed,bleeding from nostrils,Normal
Croup,hoarseness,Normal
Gonorrhea,"discharge, testicular pain, painful urination",Serious
Roseola,high fever followed by rosy rash,Normal
Urticaria (Hives),raised itchy welts,Normal
Rotator Cuff Tear,"shoulder weakness, pain lifting arm",Normal
Ear Infection,"drainage, hearing loss, ear pain",Normal
Spina Bifida Occulta,small gap in spine,Normal
Thalassemia,"weakness, fatigue, dark urine",Serious
Blister,fluid-filled pocket on skin,Normal
Constipation,"abdominal pain, difficulty passing stool",Normal
Shin Splints,pain along the shin bone,Normal
Gingivitis,bleeding,Normal
Pellagra,"diarrhea, dermatitis, dementia",Serious
Gouty Arthritis,"redness, sudden intense joint pain",Serious
Liver Cancer,"abdominal pain, weight loss, fatigue, jaundice",Critical
Hyperglycemia,"thirst, headache",Serious
Pancreatic Cancer,"jaundice, back pain, weight loss, fatigue",Critical
Trigger Finger,finger stuck in bent position,Normal
PTSD,"nightmares, anxiety, flashbacks",Serious
Plantar Wart,"hard growths on soles, pain while walking",Normal
HIV/AIDS,"weight loss, infections, fever, fatigue",Critical
IBS,"bloating, constipation, diarrhea",Normal
Hantavirus,"fever, muscle aches",Critical
Insect Bite,"swelling, itching",Normal
COPD,"wheezing, chronic cough, fatigue, breathlessness, mucus",Serious
Pitted Keratolysis,small pits on soles of feet,Normal
Osteoporosis,"fractures, bone weakness, back pain",Serious
Dyscalculia,difficulty with numbers/math,Normal
Botulism,"drooping eyelids, paralysis",Critical
Plague,"cough, swollen lymph nodes, fever",Critical
Sebaceous Cyst,slow-growing bump under skin,Normal
Carbuncle,"pain, cluster of boils, fever",Serious
Vitamin B12 Deficiency,"tongue soreness, fatigue, tingling",Normal
Hemangioma,bright red birthmark,Normal
Hepatitis B,"dark urine, abdominal pain",Serious
Callus,thickened skin from friction,Normal
Specific Phobia,intense fear of objects/situations,Normal
Impetigo,"blisters, red sores, itching",Normal
Hiccups,involuntary diaphragm contractions,Normal
Narcolepsy,"excessive daytime sleepiness, sudden muscle weakness",Serious
Hepatitis B,"abdominal pain, dark urine, yellow eyes",Serious
Granuloma Annulare,reddish bumps in a ring,Normal
Clostridium Difficile,"fever, stomach pain, severe diarrhea",Serious
Type 1 Diabetes,"frequent urination, weight loss, excessive thirst",Serious
Bunions,bony bump at base of big toe,Normal
Carbuncles,cluster of boils,Serious
Down Syndrome,"distinct facial features, delayed development",Serious
Neck Pain,"headaches, neck stiffness",Normal
Rheumatic Fever,"joint pain, chest pain, fever",Serious
Boils,"swelling, painful lumps",Normal
Hemorrhoids,"rectal pain, itching, bleeding",Normal
Tinea Corporis,body ringworm,Normal
Metabolic Syndrome,"fatigue, weight gain",Serious
Dengue,"headache, joint pain, fever",Serious
Tendinitis,"pain at tendon site, swelling",Normal
Lymphoma,"fatigue, swollen lymph nodes",Critical
Parkinson's Disease,"balance problems, tremors, stiffness, slow movement",Critical
Asthma,"coughing, chest tightness, shortness of breath, wheezing",Serious
Neuropathy,"tingling, pain, numbness, weakness",Serious
Acromegaly,"facial changes, fatigue, enlarged hands",Serious
Insomnia,"irritability, fatigue, difficulty sleeping",Normal
Liver Cirrhosis,jaundice,Critical
Hypertrophic Scars,raised red scars within injury site,Normal
COVID-19,"shortness of breath, loss of taste, headache, cough, fever, fatigue",Serious
Pinta,discolored skin patches,Normal
Erythema Nodosum,painful red lumps on shins,Serious
Osteomyelitis,"fever, bone pain",Serious
Cat Scratch Disease,"swollen nodes, bump at site",Normal
Stasis Dermatitis,skin changes from poor circulation,Normal
Periodontitis,"loose teeth, bad breath, receding gums",Serious
Thrush (Vaginal),"itching, thick white discharge",Normal
Tinea Capitis,scalp ringworm,Normal
Generalized Anxiety,"constant worry, restlessness, fatigue",Normal
H1N1 Flu,"fever, sore throat, cough, body ache",Serious
Thrush (Vaginal),"itching, thick white discharge",Normal
Huntington's Disease,cognitive decline,Critical
Tinnitus,"buzzing, clicking",Normal
Gallbladder Attack,"severe upper right pain, nausea",Serious
Croup,"hoarseness, fever, barking cough",Normal
Leptospirosis,high fever,Serious
RSV,"cough, fever, wheezing, runny nose",Normal
Periodontitis,"loose teeth, bad breath, receding gums",Serious
Common Warts,rough skin growths,Normal
Type 1 Diabetes,"excessive thirst, frequent urination",Serious
Kawasaki Disease,"high fever, red eyes, swelling, rash",Serious
Dyslexia,difficulty reading,Normal
Clubfoot,foot twisted out of shape at birth,Normal
Spinal Stenosis,"leg numbness while walking, back pain",Serious
Cystic Fibrosis,"poor growth, lung infections, cough",Critical
Melioidosis,"cough, fever",Serious
Clostridium Difficile,"stomach pain, fever, severe diarrhea",Serious
Kyphosis,rounded upper back (hunchback),Normal
Fragile X Syndrome,"learning disabilities, developmental delays",Serious
GERD,"chest discomfort, heartburn, acid reflux, regurgitation",Normal
Ovarian Cancer,"bloating, pelvic pain",Critical
Fleabites,small itchy red bumps on ankles,Normal
Astigmatism,blurred vision at all distances,Normal
Pemphigus Vulgaris,blisters in mouth and skin,Serious
Gouty Arthritis,"redness, sudden intense joint pain",Serious
Scabies,"rash, skin irritation, itching",Normal
Gianotti-Crosti Syndrome,rash on limbs after infection,Normal
Tinnitus,"ringing in ears, clicking, buzzing",Normal
Lactose Intolerance,diarrhea after dairy,Normal
Specific Phobia,intense fear of objects/situations,Normal
Reye's Syndrome,"confusion, seizures",Critical
Polyarteritis Nodosa,"skin sores, fever, joint pain",Serious
Dermatitis,"rash, redness, swelling, itching",Normal
Crohn's Disease,"fatigue, weight loss, diarrhea, abdominal pain",Serious
Vitamin B12 Deficiency,"tongue soreness, tingling, fatigue",Normal
Pinta,discolored skin patches,Normal
Muscle Strain,"swelling, stiffness, pain",Normal
Rheumatoid Arthritis,"joint pain, fatigue, swelling",Serious
Lice,"itching on scalp, visible bugs",Normal
Stevens-Johnson Syndrome,flu symptoms and severe rash,Critical
Boils (Furuncles),painful pus-filled bumps,Normal
Hashimoto's Thyroiditis,"fatigue, cold intolerance, weight gain, dry skin",Serious
Personality Disorder,"emotional instability, behavior issues",Serious
Panic Disorder,"chest pain, sudden fear, sweating",Normal
Poison Ivy Rash,"blisters from plant, itching",Normal
Albinism,lack of pigment in skin/hair/eyes,Normal
Tonsil Stones,"bad breath, white debris",Normal
Asthma,"chest tightness, shortness of breath, coughing, wheezing, fatigue",Serious
Sunburn,"peeling, red skin, pain, blistering",Normal
Eczema,"dry skin, itching, redness, rash",Normal
Hypertrichosis,excessive hair growth anywhere,Normal
Sinus Infection,"facial pressure, nasal congestion, headache",Normal
Herniated Disc,"back pain, leg pain",Serious
Bejel,"skin lesions, mouth sores",Normal
OCD,"compulsions, anxiety, repetitive thoughts",Normal
Tonsil Stones,"sore throat, white debris, bad breath",Normal
Kidney Stones,"blood in urine, nausea",Serious
Polycystic Kidney Disease,"high blood pressure, back pain",Serious
Concussion,memory loss,Serious
Phobia,"intense fear, avoidance, anxiety",Normal
Bad Breath (Halitosis),persistent mouth odor,Normal
Endocarditis,"fever, heart murmur, chills, fatigue",Serious
Frostbite,"blisters, numbness, white/blue skin",Serious
Buerger's Disease,skin ulcers,Serious
Jock Itch,"redness in groin area, itching",Normal
Hepatitis A,"nausea, dark urine, jaundice, fatigue",Serious
Relapsing Fever,headache,Serious
Bronchitis,"wheezing, chest discomfort, fatigue, mucus, persistent cough",Normal
Urticaria,"itching, redness, hives, swelling",Normal
Phenylketonuria,"seizures, musty breath, skin rash, tremors",Serious
Anxiety Disorder,"sweating, rapid heartbeat, nervousness",Normal
Reiter's Syndrome,"joint pain, urethritis, eye inflammation",Serious
Sickle Cell Anemia,"infections, swelling, fatigue, pain crises",Critical
Liver Cirrhosis,"jaundice, fluid buildup, fatigue",Critical
Perioral Dermatitis,small red bumps around mouth,Normal
Tonsillitis,"sore throat, fever, difficulty swallowing, swollen tonsils",Normal
Ear Infection,"hearing loss, drainage, ear pain",Normal
Baker's Cyst,"tightness, swelling behind the knee",Normal
Bejel,"mouth sores, skin lesions",Normal
Dengue Fever,"severe headache, high fever, joint pain",Serious
Syphilis,"fever, fatigue, rash, painless sores",Serious
Acne Vulgaris,"blackheads, pimples",Normal
Gallstones,"abdominal pain, vomiting, nausea",Normal
Gonorrhea,"painful urination, discharge, testicular pain",Serious
Skin Tags,small flesh-colored growths,Normal
Hemorrhoids,"rectal pain, bleeding",Normal
Otitis Media,"earache, fever",Normal
Cat Scratch Disease,"swollen nodes, bump at site",Normal
"Hand, Foot, and Mouth Disease","rash on hands/feet, sores in mouth",Normal
Venous Ulcers,open sores on lower legs,Serious
Stretch Marks,lines on skin from rapid growth,Normal
Ebola,"bleeding, fever, vomiting, weakness",Critical
Hantavirus,"shortness of breath, fever",Critical
Hydrocele,swelling in the scrotum,Normal
Snoring,noisy breathing during sleep,Normal
Arthritis,"joint pain, swelling, stiffness, reduced movement",Normal
Flat Warts,smooth small skin-colored warts,Normal
Astigmatism,blurred vision at all distances,Normal
Antisocial Personality,"disregard for rules, impulsivity",Serious
Vitamin B12 Deficiency,"tongue soreness, fatigue, tingling",Normal
Anal Fissure,"bleeding, pain during bowel movements",Normal
Angioedema,deep swelling under skin,Serious
Type 2 Diabetes,"fatigue, blurred vision",Serious
Muscle Strain,"pain, weakness, stiffness",Normal
Cushing's Syndrome,"moon face, weight gain, purple stretch marks",Serious
Swine Flu,"cough, sore throat, fever, body aches",Serious
